ID,GENDER,CAR,REALITY,NO_OF_CHILD,INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET
5008847,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,46,56,12,0
5008849,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,51,56,12,0
5008850,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,25,56,12,0
5008851,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,11,56,12,0
5008852,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,56,12,0
5008853,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,39,56,12,0
5008854,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,39,43,9,0
5008855,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,28,43,9,0
5008856,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,3,43,9,0
5008857,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,27,43,9,0
5008858,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,10,43,9,0
5008859,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,4,43,9,0
5008860,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,3,43,9,0
5008861,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,3,43,9,0
5008862,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,2,43,9,0
5008863,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,2,43,9,0
5008864,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,2,43,9,0
5008865,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,8,43,9,0
5008866,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,19,43,9,0
5008867,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,25,43,9,0
5112846,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,18,43,9,0
5008868,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,3,24,44,19,0
5008870,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,3,20,44,19,0
5008872,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,10,46,15,0
5008873,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,21,34,5,0
5008874,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,45,34,5,0
5008875,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,39,34,5,0
5008876,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,43,34,5,0
5008877,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,7,34,5,0
5008878,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,43,34,5,0
5008879,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,21,34,5,0
5008880,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,10,34,5,0
5008881,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,19,34,5,0
5008882,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,4,45,34,5,0
5008888,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,1,11,47,4,0
5008889,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,1,4,47,4,0
5008890,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,1,48,47,4,0
5112847,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,1,25,47,4,0
5008891,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,7,43,9,0
5008892,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,37,43,9,0
5008893,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,36,43,9,0
5008894,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,36,43,9,0
5008895,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,34,43,9,0
5008896,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,34,43,9,0
5008897,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,32,43,9,0
5008898,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,31,43,9,0
5008899,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,30,43,9,0
5008900,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,29,43,9,0
5008901,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,27,43,9,0
5008902,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,27,43,9,0
5008903,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,27,43,9,0
5008904,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,26,43,9,0
5008905,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,25,43,9,0
5008906,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,24,43,9,0
5008907,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,23,43,9,0
5008908,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,22,43,9,0
5008909,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,22,43,9,0
5008910,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,21,43,9,0
5008911,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,21,43,9,0
5008912,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,20,43,9,0
5008913,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,19,43,9,0
5008914,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,18,43,9,0
5008915,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,18,43,9,0
5008916,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,17,43,9,0
5008917,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,17,43,9,0
5008918,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,16,43,9,0
5008919,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,15,43,9,0
5008920,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,15,43,9,0
5008921,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,13,43,9,0
5008922,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,13,43,9,0
5008923,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,12,43,9,0
5008924,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,12,43,9,0
5008925,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,12,43,9,0
5008926,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,11,43,9,0
5008927,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,9,43,9,0
5008928,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,9,43,9,0
5008929,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,7,43,9,0
5008930,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,6,43,9,0
5008931,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,5,43,9,0
5008932,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,5,43,9,0
5008933,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,5,43,9,0
5008934,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,4,43,9,0
5008935,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,4,43,9,0
5008936,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,3,43,9,0
5008937,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,1,43,9,0
5008938,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,1,43,9,0
5008939,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,0,43,9,0
5008940,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,1,43,9,0
5008941,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,7,43,9,0
5008942,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,2,43,37,13,0
5008943,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,2,14,37,13,0
5008944,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,2,23,37,13,0
5008945,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,2,30,37,13,0
5008946,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,2,48,37,13,0
5008947,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,12,42,4,0
5008948,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,17,42,4,0
5008949,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,42,4,0
5008950,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,12,42,4,0
5008955,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,4,49,5,0
5008956,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,39,49,5,0
5008957,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,51,49,5,0
5008958,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,3,49,5,0
5008959,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,15,49,5,0
5008960,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,28,49,5,0
5008962,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,26,49,5,0
5008963,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,38,49,5,0
5008981,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,10,57,7,0
5008983,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,58,57,7,0
5008984,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,58,57,7,0
5008986,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,10,57,7,0
5008987,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,10,57,7,0
5008988,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,16,57,7,0
5008991,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,1,30,45,3,0
5008992,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,1,6,45,3,0
5008993,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,1,17,45,3,0
5008994,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,1,19,45,3,0
5008995,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,1,28,45,3,0
5112861,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,1,21,45,3,0
5008998,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,1,0,0,1,2,4,29,2,0
5008999,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,1,0,0,1,2,24,29,2,0
5009000,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,22,27,2,0
5009001,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,40,52,17,0
5009002,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,44,52,17,0
5009005,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,35,52,17,0
5009006,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,45,52,17,0
5009007,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,59,52,17,0
5009008,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,9,52,17,0
5009009,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,32,52,17,0
5009010,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,12,52,17,0
5009012,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,5,52,17,0
5009014,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,35,52,17,0
5009027,F,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,2,21,54,30,0
5112862,F,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,2,40,54,30,0
5009028,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,17,40,8,0
5009029,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,15,40,8,0
5009031,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,13,29,3,0
5009032,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,13,29,3,0
5009039,F,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,3,8,39,2,0
5009040,F,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,3,3,39,2,0
5009042,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,2,20,48,2,0
5009043,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,2,20,48,2,0
5009044,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,2,18,48,2,0
5009045,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,2,17,48,2,0
5009046,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,2,7,48,2,0
5009047,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,1,0,0,0,2,11,48,2,0
5009050,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,4,34,30,6,0
5009051,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,4,56,30,6,0
5009052,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,4,47,30,6,0
5009053,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,4,51,30,6,0
5009055,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,1,0,0,1,4,55,30,6,0
5009056,M,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,1,24,24,2,0
5009057,M,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,1,9,24,2,0
5009058,F,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1,0,21,2,0
5009062,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,45,29,6,0
5009063,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,27,29,6,0
5009064,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,4,29,6,0
5009065,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,10,29,6,0
5009066,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,15,29,6,0
5009067,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,36,29,6,0
5009068,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,22,29,6,0
5009069,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,35,29,6,0
5009070,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,39,29,6,0
5009071,F,Y,Y,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,1,0,1,1,2,20,28,9,0
5009072,F,Y,Y,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,1,0,1,1,2,43,28,9,0
5009074,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,1,0,1,1,3,22,49,2,0
5009075,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,1,0,1,1,3,28,49,2,0
5009078,M,N,Y,1,180000,Working,Secondary / secondary special,Married,With parents,1,0,0,0,3,30,39,4,0
5009079,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,2,43,28,9,0
5009080,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,2,15,28,9,0
5009081,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,1,0,0,1,2,19,28,9,0
5009083,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,51,56,16,0
5009084,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,2,56,16,0
5009088,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,4,46,40,8,0
5009089,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,4,39,40,8,0
5009090,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,13,35,11,0
5009092,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,1,1,0,0,3,3,33,3,0
5009094,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,1,1,0,0,3,3,33,3,0
5009095,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,1,1,0,0,3,3,33,3,0
5009096,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,3,24,37,12,0
5009097,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,3,33,37,12,0
5009098,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,3,17,37,12,0
5009099,F,N,Y,0,315000,Working,Higher education,Separated,House / apartment,1,0,0,0,1,56,36,2,0
5009100,F,N,Y,0,315000,Working,Higher education,Separated,House / apartment,1,0,0,0,1,27,36,2,0
5009103,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,1,0,4,38,35,11,0
5009104,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,1,0,4,27,35,11,0
5009105,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,1,0,4,30,35,11,0
5009106,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,1,0,4,60,35,11,0
5112876,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,1,0,1,0,4,25,35,11,0
5009108,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,7,42,8,0
5009109,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,20,42,8,0
5009110,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,2,3,24,1,0
5009141,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,2,33,26,4,0
5009142,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,2,11,26,4,0
5009145,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,2,36,43,10,0
5009146,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,2,36,43,10,0
5009147,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,2,12,43,10,0
5009149,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,2,7,43,10,0
5009150,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,2,17,43,10,0
5009151,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,29,54,8,0
5009152,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,47,54,8,0
5009153,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,53,54,8,0
5009154,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,28,54,8,0
5009155,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,27,54,8,0
5009156,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,17,54,8,0
5009157,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,55,54,8,0
5009158,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,43,54,8,0
